[1]	train's auc: 0.702302	train's online_auc: 0.700284	valid's auc: 0.699138	valid's online_auc: 0.698175
[258]	train's auc: 0.760894	train's online_auc: 0.761045	valid's auc: 0.742761	valid's online_auc: 0.738283
[259]	train's auc: 0.76096	train's online_auc: 0.761117	valid's auc: 0.742751	valid's online_auc: 0.738269
[260]	train's auc: 0.761022	train's online_auc: 0.761191	valid's auc: 0.742739	valid's online_auc: 0.738256
[261]	train's auc: 0.761063	train's online_auc: 0.761251	valid's auc: 0.742735	valid's online_auc: 0.738242
[262]	train's auc: 0.761084	train's online_auc: 0.76127	valid's auc: 0.742742	valid's online_auc: 0.738259
[263]	train's auc: 0.761105	train's online_auc: 0.761281	valid's auc: 0.742742	valid's online_auc: 0.738258
[264]	train's auc: 0.761149	train's online_auc: 0.761352	valid's auc: 0.742741	valid's online_auc: 0.73825
[265]	train's auc: 0.761215	train's online_auc: 0.761473	valid's auc: 0.742754	valid's online_auc: 0.738302
[266]	train's auc: 0.761283	train's online_auc: 0.761542	valid's auc: 0.742763	valid's online_auc: 0.738309
[267]	train's auc: 0.76131	train's online_auc: 0.761644	valid's auc: 0.74276	valid's online_auc: 0.738305
[268]	train's auc: 0.761396	train's online_auc: 0.76182	valid's auc: 0.74277	valid's online_auc: 0.73836
[269]	train's auc: 0.761459	train's online_auc: 0.761887	valid's auc: 0.742788	valid's online_auc: 0.738374
[270]	train's auc: 0.761511	train's online_auc: 0.761974	valid's auc: 0.742788	valid's online_auc: 0.73836
[271]	train's auc: 0.761582	train's online_auc: 0.762064	valid's auc: 0.74281	valid's online_auc: 0.738338
[272]	train's auc: 0.761615	train's online_auc: 0.762086	valid's auc: 0.742805	valid's online_auc: 0.738341
[273]	train's auc: 0.761647	train's online_auc: 0.762111	valid's auc: 0.742798	valid's online_auc: 0.738329
[274]	train's auc: 0.761672	train's online_auc: 0.762158	valid's auc: 0.742795	valid's online_auc: 0.738324
[275]	train's auc: 0.761691	train's online_auc: 0.762179	valid's auc: 0.742808	valid's online_auc: 0.738346
[276]	train's auc: 0.761712	train's online_auc: 0.762208	valid's auc: 0.742812	valid's online_auc: 0.738347
[277]	train's auc: 0.761792	train's online_auc: 0.762266	valid's auc: 0.742828	valid's online_auc: 0.738351
[278]	train's auc: 0.761871	train's online_auc: 0.762452	valid's auc: 0.742828	valid's online_auc: 0.738362
[279]	train's auc: 0.761922	train's online_auc: 0.762515	valid's auc: 0.742826	valid's online_auc: 0.738365
[280]	train's auc: 0.761963	train's online_auc: 0.762552	valid's auc: 0.742821	valid's online_auc: 0.738366
[281]	train's auc: 0.762019	train's online_auc: 0.762708	valid's auc: 0.742816	valid's online_auc: 0.738359
[282]	train's auc: 0.762086	train's online_auc: 0.762756	valid's auc: 0.742848	valid's online_auc: 0.738401
[283]	train's auc: 0.762155	train's online_auc: 0.762834	valid's auc: 0.742841	valid's online_auc: 0.738399
[284]	train's auc: 0.762185	train's online_auc: 0.762875	valid's auc: 0.742838	valid's online_auc: 0.738383
[285]	train's auc: 0.762202	train's online_auc: 0.762884	valid's auc: 0.742846	valid's online_auc: 0.738376
[286]	train's auc: 0.76227	train's online_auc: 0.762989	valid's auc: 0.742855	valid's online_auc: 0.738394
[287]	train's auc: 0.76233	train's online_auc: 0.763099	valid's auc: 0.742857	valid's online_auc: 0.738374
[288]	train's auc: 0.762354	train's online_auc: 0.763128	valid's auc: 0.742858	valid's online_auc: 0.738382
[289]	train's auc: 0.762403	train's online_auc: 0.763193	valid's auc: 0.742867	valid's online_auc: 0.738378
[290]	train's auc: 0.762435	train's online_auc: 0.76322	valid's auc: 0.742864	valid's online_auc: 0.738376
[291]	train's auc: 0.762477	train's online_auc: 0.763309	valid's auc: 0.742846	valid's online_auc: 0.738329
[292]	train's auc: 0.762528	train's online_auc: 0.763355	valid's auc: 0.742837	valid's online_auc: 0.738321
[293]	train's auc: 0.762579	train's online_auc: 0.763403	valid's auc: 0.742836	valid's online_auc: 0.738322
[294]	train's auc: 0.76262	train's online_auc: 0.76352	valid's auc: 0.742822	valid's online_auc: 0.738321
[295]	train's auc: 0.76265	train's online_auc: 0.763543	valid's auc: 0.742814	valid's online_auc: 0.738318
[296]	train's auc: 0.762683	train's online_auc: 0.763574	valid's auc: 0.742804	valid's online_auc: 0.7383
[297]	train's auc: 0.762718	train's online_auc: 0.763661	valid's auc: 0.742798	valid's online_auc: 0.738279
[298]	train's auc: 0.762757	train's online_auc: 0.763751	valid's auc: 0.742812	valid's online_auc: 0.738259
[299]	train's auc: 0.762792	train's online_auc: 0.763797	valid's auc: 0.742812	valid's online_auc: 0.738246
[300]	train's auc: 0.762819	train's online_auc: 0.763822	valid's auc: 0.742806	valid's online_auc: 0.738247
[301]	train's auc: 0.762852	train's online_auc: 0.763856	valid's auc: 0.742805	valid's online_auc: 0.738241
[302]	train's auc: 0.762887	train's online_auc: 0.763882	valid's auc: 0.742799	valid's online_auc: 0.738239
[303]	train's auc: 0.762938	train's online_auc: 0.763949	valid's auc: 0.742799	valid's online_auc: 0.738265
[304]	train's auc: 0.762974	train's online_auc: 0.763997	valid's auc: 0.742799	valid's online_auc: 0.738253
[305]	train's auc: 0.763012	train's online_auc: 0.764037	valid's auc: 0.742815	valid's online_auc: 0.738266
[306]	train's auc: 0.763175	train's online_auc: 0.764199	valid's auc: 0.742893	valid's online_auc: 0.738297
[307]	train's auc: 0.763233	train's online_auc: 0.764241	valid's auc: 0.742889	valid's online_auc: 0.738309
[308]	train's auc: 0.763254	train's online_auc: 0.764264	valid's auc: 0.742895	valid's online_auc: 0.738322
[309]	train's auc: 0.76333	train's online_auc: 0.764338	valid's auc: 0.742913	valid's online_auc: 0.738341
[310]	train's auc: 0.763375	train's online_auc: 0.764378	valid's auc: 0.742906	valid's online_auc: 0.738325
[311]	train's auc: 0.763422	train's online_auc: 0.76449	valid's auc: 0.742915	valid's online_auc: 0.738315
[312]	train's auc: 0.763445	train's online_auc: 0.764523	valid's auc: 0.74291	valid's online_auc: 0.738313
[313]	train's auc: 0.763551	train's online_auc: 0.764643	valid's auc: 0.742996	valid's online_auc: 0.738368
[314]	train's auc: 0.763601	train's online_auc: 0.764685	valid's auc: 0.743003	valid's online_auc: 0.738365
[315]	train's auc: 0.763665	train's online_auc: 0.764733	valid's auc: 0.743033	valid's online_auc: 0.73838
[316]	train's auc: 0.763735	train's online_auc: 0.764791	valid's auc: 0.743034	valid's online_auc: 0.738381
[317]	train's auc: 0.763779	train's online_auc: 0.764817	valid's auc: 0.743026	valid's online_auc: 0.738378
[318]	train's auc: 0.763805	train's online_auc: 0.764852	valid's auc: 0.743027	valid's online_auc: 0.738365
[319]	train's auc: 0.763844	train's online_auc: 0.764876	valid's auc: 0.743031	valid's online_auc: 0.738362
[320]	train's auc: 0.763863	train's online_auc: 0.764919	valid's auc: 0.743036	valid's online_auc: 0.738362
[321]	train's auc: 0.763882	train's online_auc: 0.764946	valid's auc: 0.743025	valid's online_auc: 0.738348
[322]	train's auc: 0.763911	train's online_auc: 0.764973	valid's auc: 0.743019	valid's online_auc: 0.738358
[323]	train's auc: 0.763958	train's online_auc: 0.765047	valid's auc: 0.743022	valid's online_auc: 0.738387
[324]	train's auc: 0.763984	train's online_auc: 0.765074	valid's auc: 0.743021	valid's online_auc: 0.738395
[325]	train's auc: 0.763999	train's online_auc: 0.765096	valid's auc: 0.74302	valid's online_auc: 0.738394
[326]	train's auc: 0.764029	train's online_auc: 0.765135	valid's auc: 0.743011	valid's online_auc: 0.738384
[327]	train's auc: 0.764067	train's online_auc: 0.765201	valid's auc: 0.74303	valid's online_auc: 0.738443
[328]	train's auc: 0.764107	train's online_auc: 0.765234	valid's auc: 0.743026	valid's online_auc: 0.738455
[329]	train's auc: 0.76416	train's online_auc: 0.7653	valid's auc: 0.743054	valid's online_auc: 0.738467
[330]	train's auc: 0.764196	train's online_auc: 0.765323	valid's auc: 0.743051	valid's online_auc: 0.73847
[331]	train's auc: 0.764274	train's online_auc: 0.765405	valid's auc: 0.743041	valid's online_auc: 0.738446
[332]	train's auc: 0.764337	train's online_auc: 0.765453	valid's auc: 0.743067	valid's online_auc: 0.738461
[333]	train's auc: 0.764373	train's online_auc: 0.765486	valid's auc: 0.743076	valid's online_auc: 0.738476
[334]	train's auc: 0.764408	train's online_auc: 0.765526	valid's auc: 0.743078	valid's online_auc: 0.738506
[335]	train's auc: 0.764426	train's online_auc: 0.765562	valid's auc: 0.743084	valid's online_auc: 0.73852
[336]	train's auc: 0.764479	train's online_auc: 0.765702	valid's auc: 0.743092	valid's online_auc: 0.738521
[337]	train's auc: 0.764516	train's online_auc: 0.765749	valid's auc: 0.743096	valid's online_auc: 0.738526
[338]	train's auc: 0.764539	train's online_auc: 0.765763	valid's auc: 0.743094	valid's online_auc: 0.738523
[339]	train's auc: 0.764603	train's online_auc: 0.765907	valid's auc: 0.743084	valid's online_auc: 0.738535
[340]	train's auc: 0.764622	train's online_auc: 0.765925	valid's auc: 0.743085	valid's online_auc: 0.738538
[341]	train's auc: 0.76466	train's online_auc: 0.76598	valid's auc: 0.743076	valid's online_auc: 0.738516
[342]	train's auc: 0.764706	train's online_auc: 0.766037	valid's auc: 0.743075	valid's online_auc: 0.73851
[343]	train's auc: 0.764743	train's online_auc: 0.766104	valid's auc: 0.743071	valid's online_auc: 0.73851
[344]	train's auc: 0.76477	train's online_auc: 0.76613	valid's auc: 0.743072	valid's online_auc: 0.73851
[345]	train's auc: 0.764845	train's online_auc: 0.76641	valid's auc: 0.743064	valid's online_auc: 0.738463
[346]	train's auc: 0.764861	train's online_auc: 0.76644	valid's auc: 0.743067	valid's online_auc: 0.73846
[347]	train's auc: 0.764888	train's online_auc: 0.766472	valid's auc: 0.743074	valid's online_auc: 0.738459
[348]	train's auc: 0.764905	train's online_auc: 0.766502	valid's auc: 0.743081	valid's online_auc: 0.738482
[349]	train's auc: 0.764956	train's online_auc: 0.766542	valid's auc: 0.743086	valid's online_auc: 0.738479
[350]	train's auc: 0.764977	train's online_auc: 0.766557	valid's auc: 0.743086	valid's online_auc: 0.738481
[351]	train's auc: 0.765033	train's online_auc: 0.766587	valid's auc: 0.743078	valid's online_auc: 0.738472
[352]	train's auc: 0.765047	train's online_auc: 0.766608	valid's auc: 0.743077	valid's online_auc: 0.738469
[353]	train's auc: 0.765066	train's online_auc: 0.766639	valid's auc: 0.743079	valid's online_auc: 0.738467
[354]	train's auc: 0.765097	train's online_auc: 0.76667	valid's auc: 0.743071	valid's online_auc: 0.738455
[355]	train's auc: 0.765124	train's online_auc: 0.766688	valid's auc: 0.743085	valid's online_auc: 0.738477
[356]	train's auc: 0.765152	train's online_auc: 0.766713	valid's auc: 0.743087	valid's online_auc: 0.738464
[357]	train's auc: 0.765171	train's online_auc: 0.766735	valid's auc: 0.743091	valid's online_auc: 0.738463
[358]	train's auc: 0.765232	train's online_auc: 0.766783	valid's auc: 0.743121	valid's online_auc: 0.738478
[359]	train's auc: 0.765242	train's online_auc: 0.766795	valid's auc: 0.74312	valid's online_auc: 0.738482
[360]	train's auc: 0.765287	train's online_auc: 0.766855	valid's auc: 0.743109	valid's online_auc: 0.738469
[361]	train's auc: 0.765299	train's online_auc: 0.766866	valid's auc: 0.743105	valid's online_auc: 0.738464
[362]	train's auc: 0.765316	train's online_auc: 0.766887	valid's auc: 0.743099	valid's online_auc: 0.73846
[363]	train's auc: 0.765353	train's online_auc: 0.766926	valid's auc: 0.743101	valid's online_auc: 0.738456
[364]	train's auc: 0.765379	train's online_auc: 0.766952	valid's auc: 0.743106	valid's online_auc: 0.738484
[365]	train's auc: 0.765433	train's online_auc: 0.766997	valid's auc: 0.743101	valid's online_auc: 0.738477
[366]	train's auc: 0.765513	train's online_auc: 0.767083	valid's auc: 0.743108	valid's online_auc: 0.738506
[367]	train's auc: 0.765555	train's online_auc: 0.767213	valid's auc: 0.743112	valid's online_auc: 0.738546
[368]	train's auc: 0.765585	train's online_auc: 0.76724	valid's auc: 0.743111	valid's online_auc: 0.738547
[369]	train's auc: 0.765601	train's online_auc: 0.767264	valid's auc: 0.7431	valid's online_auc: 0.738547
[370]	train's auc: 0.765643	train's online_auc: 0.767329	valid's auc: 0.743094	valid's online_auc: 0.738543
[371]	train's auc: 0.765669	train's online_auc: 0.767356	valid's auc: 0.743096	valid's online_auc: 0.738546
[372]	train's auc: 0.765711	train's online_auc: 0.767402	valid's auc: 0.7431	valid's online_auc: 0.738559
[373]	train's auc: 0.765802	train's online_auc: 0.767484	valid's auc: 0.743101	valid's online_auc: 0.738564
[374]	train's auc: 0.765859	train's online_auc: 0.767607	valid's auc: 0.7431	valid's online_auc: 0.738565
[375]	train's auc: 0.765911	train's online_auc: 0.767677	valid's auc: 0.743112	valid's online_auc: 0.738561
[376]	train's auc: 0.765932	train's online_auc: 0.767703	valid's auc: 0.743107	valid's online_auc: 0.738568
[377]	train's auc: 0.765974	train's online_auc: 0.767747	valid's auc: 0.74311	valid's online_auc: 0.73857
[378]	train's auc: 0.766017	train's online_auc: 0.767779	valid's auc: 0.743115	valid's online_auc: 0.738572
[379]	train's auc: 0.766043	train's online_auc: 0.767837	valid's auc: 0.74311	valid's online_auc: 0.738555
[380]	train's auc: 0.766082	train's online_auc: 0.76789	valid's auc: 0.743107	valid's online_auc: 0.73854
[381]	train's auc: 0.766129	train's online_auc: 0.767993	valid's auc: 0.743106	valid's online_auc: 0.738536
[382]	train's auc: 0.76619	train's online_auc: 0.76809	valid's auc: 0.743099	valid's online_auc: 0.73854
[383]	train's auc: 0.766195	train's online_auc: 0.7681	valid's auc: 0.743099	valid's online_auc: 0.738537
[384]	train's auc: 0.766228	train's online_auc: 0.768131	valid's auc: 0.74311	valid's online_auc: 0.73855
[385]	train's auc: 0.766293	train's online_auc: 0.768178	valid's auc: 0.743149	valid's online_auc: 0.738541
[386]	train's auc: 0.76634	train's online_auc: 0.768218	valid's auc: 0.743162	valid's online_auc: 0.738546
[387]	train's auc: 0.7664	train's online_auc: 0.768298	valid's auc: 0.74316	valid's online_auc: 0.738534
[388]	train's auc: 0.76643	train's online_auc: 0.768323	valid's auc: 0.743159	valid's online_auc: 0.738538
[389]	train's auc: 0.766459	train's online_auc: 0.768361	valid's auc: 0.74316	valid's online_auc: 0.738534
[390]	train's auc: 0.766553	train's online_auc: 0.768549	valid's auc: 0.743178	valid's online_auc: 0.738582
[391]	train's auc: 0.766602	train's online_auc: 0.768606	valid's auc: 0.743169	valid's online_auc: 0.738572
[392]	train's auc: 0.766643	train's online_auc: 0.768649	valid's auc: 0.743164	valid's online_auc: 0.738581
[393]	train's auc: 0.766669	train's online_auc: 0.768673	valid's auc: 0.743163	valid's online_auc: 0.738576
[394]	train's auc: 0.766689	train's online_auc: 0.768702	valid's auc: 0.743159	valid's online_auc: 0.73856
[395]	train's auc: 0.766732	train's online_auc: 0.768796	valid's auc: 0.743151	valid's online_auc: 0.738541
[396]	train's auc: 0.766782	train's online_auc: 0.768871	valid's auc: 0.743151	valid's online_auc: 0.738547
[397]	train's auc: 0.76682	train's online_auc: 0.768901	valid's auc: 0.74315	valid's online_auc: 0.738554
[398]	train's auc: 0.7669	train's online_auc: 0.768971	valid's auc: 0.743158	valid's online_auc: 0.73856
[399]	train's auc: 0.76694	train's online_auc: 0.768999	valid's auc: 0.743158	valid's online_auc: 0.738566
[400]	train's auc: 0.766979	train's online_auc: 0.769058	valid's auc: 0.743156	valid's online_auc: 0.738566
[401]	train's auc: 0.767019	train's online_auc: 0.769092	valid's auc: 0.743158	valid's online_auc: 0.738564
[402]	train's auc: 0.76709	train's online_auc: 0.769158	valid's auc: 0.74315	valid's online_auc: 0.738559
[403]	train's auc: 0.767111	train's online_auc: 0.76918	valid's auc: 0.743154	valid's online_auc: 0.73856
[404]	train's auc: 0.767139	train's online_auc: 0.769236	valid's auc: 0.743147	valid's online_auc: 0.738554
[405]	train's auc: 0.767203	train's online_auc: 0.769341	valid's auc: 0.743135	valid's online_auc: 0.738522
[406]	train's auc: 0.767268	train's online_auc: 0.769459	valid's auc: 0.743144	valid's online_auc: 0.738555
[407]	train's auc: 0.767282	train's online_auc: 0.769475	valid's auc: 0.743138	valid's online_auc: 0.738552
[408]	train's auc: 0.767296	train's online_auc: 0.769497	valid's auc: 0.743143	valid's online_auc: 0.73857
[409]	train's auc: 0.767305	train's online_auc: 0.76952	valid's auc: 0.743143	valid's online_auc: 0.738573
[410]	train's auc: 0.767317	train's online_auc: 0.76953	valid's auc: 0.743142	valid's online_auc: 0.738577
[411]	train's auc: 0.76737	train's online_auc: 0.769633	valid's auc: 0.743146	valid's online_auc: 0.738576
[412]	train's auc: 0.767399	train's online_auc: 0.769654	valid's auc: 0.743152	valid's online_auc: 0.738581
[413]	train's auc: 0.767429	train's online_auc: 0.769714	valid's auc: 0.743152	valid's online_auc: 0.738575
[414]	train's auc: 0.767484	train's online_auc: 0.769794	valid's auc: 0.743137	valid's online_auc: 0.738554
[415]	train's auc: 0.767516	train's online_auc: 0.769823	valid's auc: 0.743128	valid's online_auc: 0.738541
[416]	train's auc: 0.767529	train's online_auc: 0.769843	valid's auc: 0.743125	valid's online_auc: 0.738538
[417]	train's auc: 0.76758	train's online_auc: 0.769889	valid's auc: 0.743115	valid's online_auc: 0.738533
[418]	train's auc: 0.767638	train's online_auc: 0.769944	valid's auc: 0.743135	valid's online_auc: 0.738529
[419]	train's auc: 0.767697	train's online_auc: 0.77	valid's auc: 0.743132	valid's online_auc: 0.73852
[420]	train's auc: 0.767727	train's online_auc: 0.770017	valid's auc: 0.743141	valid's online_auc: 0.738523
[421]	train's auc: 0.767758	train's online_auc: 0.770046	valid's auc: 0.743136	valid's online_auc: 0.738524
[422]	train's auc: 0.767795	train's online_auc: 0.770085	valid's auc: 0.743129	valid's online_auc: 0.738512
[423]	train's auc: 0.767819	train's online_auc: 0.77012	valid's auc: 0.743133	valid's online_auc: 0.738519
[424]	train's auc: 0.767837	train's online_auc: 0.770142	valid's auc: 0.743138	valid's online_auc: 0.738527
[425]	train's auc: 0.767874	train's online_auc: 0.770189	valid's auc: 0.743126	valid's online_auc: 0.738511
[426]	train's auc: 0.767889	train's online_auc: 0.77023	valid's auc: 0.743123	valid's online_auc: 0.738523
[427]	train's auc: 0.767923	train's online_auc: 0.770263	valid's auc: 0.743116	valid's online_auc: 0.738512
[428]	train's auc: 0.767974	train's online_auc: 0.770324	valid's auc: 0.743098	valid's online_auc: 0.738493
[429]	train's auc: 0.768004	train's online_auc: 0.770344	valid's auc: 0.743104	valid's online_auc: 0.738493
[430]	train's auc: 0.768051	train's online_auc: 0.770418	valid's auc: 0.743098	valid's online_auc: 0.738479
[431]	train's auc: 0.768088	train's online_auc: 0.770465	valid's auc: 0.743095	valid's online_auc: 0.738469
[432]	train's auc: 0.768103	train's online_auc: 0.770478	valid's auc: 0.743091	valid's online_auc: 0.738465
[433]	train's auc: 0.768139	train's online_auc: 0.770503	valid's auc: 0.743094	valid's online_auc: 0.738455
[434]	train's auc: 0.768175	train's online_auc: 0.770538	valid's auc: 0.743102	valid's online_auc: 0.738474
[435]	train's auc: 0.768214	train's online_auc: 0.770566	valid's auc: 0.743117	valid's online_auc: 0.738526
[436]	train's auc: 0.768253	train's online_auc: 0.770621	valid's auc: 0.74311	valid's online_auc: 0.738539
[437]	train's auc: 0.768296	train's online_auc: 0.77067	valid's auc: 0.743105	valid's online_auc: 0.738526
[438]	train's auc: 0.768327	train's online_auc: 0.770711	valid's auc: 0.743094	valid's online_auc: 0.738497
[439]	train's auc: 0.768364	train's online_auc: 0.770729	valid's auc: 0.743094	valid's online_auc: 0.738493
[440]	train's auc: 0.768414	train's online_auc: 0.770768	valid's auc: 0.743091	valid's online_auc: 0.738493
Early stopping, best iteration is:
[390]	train's auc: 0.766553	train's online_auc: 0.768549	valid's auc: 0.743178	valid's online_auc: 0.738582
