[1]	train's auc: 0.619291	train's online_auc: 0.611129	valid's auc: 0.619593	valid's online_auc: 0.612418
[258]	train's auc: 0.747556	train's online_auc: 0.747158	valid's auc: 0.728253	valid's online_auc: 0.722578
[259]	train's auc: 0.747671	train's online_auc: 0.7473	valid's auc: 0.728278	valid's online_auc: 0.7226
[260]	train's auc: 0.74775	train's online_auc: 0.747371	valid's auc: 0.728302	valid's online_auc: 0.722626
[261]	train's auc: 0.747796	train's online_auc: 0.74741	valid's auc: 0.728325	valid's online_auc: 0.722657
[262]	train's auc: 0.747939	train's online_auc: 0.747528	valid's auc: 0.728395	valid's online_auc: 0.722736
[263]	train's auc: 0.748006	train's online_auc: 0.747586	valid's auc: 0.728415	valid's online_auc: 0.722719
[264]	train's auc: 0.74811	train's online_auc: 0.747676	valid's auc: 0.728499	valid's online_auc: 0.722797
[265]	train's auc: 0.748147	train's online_auc: 0.747726	valid's auc: 0.728506	valid's online_auc: 0.7228
[266]	train's auc: 0.748231	train's online_auc: 0.747832	valid's auc: 0.728527	valid's online_auc: 0.722839
[267]	train's auc: 0.748348	train's online_auc: 0.747981	valid's auc: 0.728569	valid's online_auc: 0.722881
[268]	train's auc: 0.748412	train's online_auc: 0.748097	valid's auc: 0.728568	valid's online_auc: 0.722852
[269]	train's auc: 0.748523	train's online_auc: 0.748233	valid's auc: 0.728625	valid's online_auc: 0.722948
[270]	train's auc: 0.748599	train's online_auc: 0.748298	valid's auc: 0.728642	valid's online_auc: 0.722953
[271]	train's auc: 0.748694	train's online_auc: 0.748399	valid's auc: 0.728673	valid's online_auc: 0.722984
[272]	train's auc: 0.748859	train's online_auc: 0.748605	valid's auc: 0.728783	valid's online_auc: 0.723125
[273]	train's auc: 0.748968	train's online_auc: 0.748709	valid's auc: 0.728786	valid's online_auc: 0.72315
[274]	train's auc: 0.74904	train's online_auc: 0.748786	valid's auc: 0.728788	valid's online_auc: 0.72316
[275]	train's auc: 0.749176	train's online_auc: 0.748972	valid's auc: 0.728814	valid's online_auc: 0.723207
[276]	train's auc: 0.749264	train's online_auc: 0.749106	valid's auc: 0.728818	valid's online_auc: 0.723204
[277]	train's auc: 0.749332	train's online_auc: 0.749193	valid's auc: 0.728843	valid's online_auc: 0.723239
[278]	train's auc: 0.749442	train's online_auc: 0.749306	valid's auc: 0.728899	valid's online_auc: 0.723324
[279]	train's auc: 0.749562	train's online_auc: 0.749395	valid's auc: 0.728938	valid's online_auc: 0.723364
[280]	train's auc: 0.749632	train's online_auc: 0.749513	valid's auc: 0.728945	valid's online_auc: 0.723396
[281]	train's auc: 0.749749	train's online_auc: 0.749663	valid's auc: 0.729035	valid's online_auc: 0.723508
[282]	train's auc: 0.749838	train's online_auc: 0.749755	valid's auc: 0.729051	valid's online_auc: 0.723623
[283]	train's auc: 0.749918	train's online_auc: 0.749821	valid's auc: 0.729078	valid's online_auc: 0.723638
[284]	train's auc: 0.750003	train's online_auc: 0.74993	valid's auc: 0.72916	valid's online_auc: 0.723787
[285]	train's auc: 0.75012	train's online_auc: 0.750218	valid's auc: 0.72917	valid's online_auc: 0.723824
[286]	train's auc: 0.750202	train's online_auc: 0.75029	valid's auc: 0.729199	valid's online_auc: 0.723851
[287]	train's auc: 0.750297	train's online_auc: 0.750369	valid's auc: 0.729259	valid's online_auc: 0.7239
[288]	train's auc: 0.750412	train's online_auc: 0.750452	valid's auc: 0.729285	valid's online_auc: 0.723895
[289]	train's auc: 0.750468	train's online_auc: 0.750506	valid's auc: 0.729291	valid's online_auc: 0.723895
[290]	train's auc: 0.75051	train's online_auc: 0.750553	valid's auc: 0.729313	valid's online_auc: 0.723929
[291]	train's auc: 0.750614	train's online_auc: 0.750628	valid's auc: 0.729374	valid's online_auc: 0.723999
[292]	train's auc: 0.750728	train's online_auc: 0.75079	valid's auc: 0.729433	valid's online_auc: 0.724071
[293]	train's auc: 0.750813	train's online_auc: 0.750874	valid's auc: 0.729486	valid's online_auc: 0.72415
[294]	train's auc: 0.750866	train's online_auc: 0.750951	valid's auc: 0.729524	valid's online_auc: 0.724184
[295]	train's auc: 0.750951	train's online_auc: 0.751039	valid's auc: 0.72956	valid's online_auc: 0.724229
[296]	train's auc: 0.750992	train's online_auc: 0.751117	valid's auc: 0.72958	valid's online_auc: 0.724254
[297]	train's auc: 0.751089	train's online_auc: 0.75122	valid's auc: 0.729592	valid's online_auc: 0.724243
[298]	train's auc: 0.751341	train's online_auc: 0.751389	valid's auc: 0.729678	valid's online_auc: 0.724274
[299]	train's auc: 0.751385	train's online_auc: 0.751431	valid's auc: 0.729699	valid's online_auc: 0.724298
[300]	train's auc: 0.751417	train's online_auc: 0.751477	valid's auc: 0.729709	valid's online_auc: 0.724307
[301]	train's auc: 0.751471	train's online_auc: 0.751538	valid's auc: 0.729716	valid's online_auc: 0.724316
[302]	train's auc: 0.751612	train's online_auc: 0.751766	valid's auc: 0.729821	valid's online_auc: 0.724487
[303]	train's auc: 0.751675	train's online_auc: 0.751833	valid's auc: 0.729837	valid's online_auc: 0.724493
[304]	train's auc: 0.751787	train's online_auc: 0.752005	valid's auc: 0.729874	valid's online_auc: 0.724576
[305]	train's auc: 0.751851	train's online_auc: 0.752069	valid's auc: 0.729903	valid's online_auc: 0.72461
[306]	train's auc: 0.751916	train's online_auc: 0.75211	valid's auc: 0.729918	valid's online_auc: 0.724641
[307]	train's auc: 0.752007	train's online_auc: 0.752205	valid's auc: 0.729923	valid's online_auc: 0.724643
[308]	train's auc: 0.75209	train's online_auc: 0.75227	valid's auc: 0.729931	valid's online_auc: 0.724642
[309]	train's auc: 0.752165	train's online_auc: 0.752371	valid's auc: 0.729959	valid's online_auc: 0.724663
[310]	train's auc: 0.752235	train's online_auc: 0.752444	valid's auc: 0.729975	valid's online_auc: 0.724668
[311]	train's auc: 0.752362	train's online_auc: 0.752702	valid's auc: 0.730007	valid's online_auc: 0.724752
[312]	train's auc: 0.752423	train's online_auc: 0.752753	valid's auc: 0.730017	valid's online_auc: 0.72476
[313]	train's auc: 0.75248	train's online_auc: 0.752818	valid's auc: 0.730042	valid's online_auc: 0.724795
[314]	train's auc: 0.752569	train's online_auc: 0.752891	valid's auc: 0.730083	valid's online_auc: 0.724806
[315]	train's auc: 0.752687	train's online_auc: 0.753024	valid's auc: 0.730131	valid's online_auc: 0.724826
[316]	train's auc: 0.752746	train's online_auc: 0.753088	valid's auc: 0.730149	valid's online_auc: 0.724865
[317]	train's auc: 0.752999	train's online_auc: 0.753221	valid's auc: 0.730308	valid's online_auc: 0.724935
[318]	train's auc: 0.753038	train's online_auc: 0.753255	valid's auc: 0.730321	valid's online_auc: 0.724938
[319]	train's auc: 0.753088	train's online_auc: 0.753358	valid's auc: 0.730344	valid's online_auc: 0.724942
[320]	train's auc: 0.753136	train's online_auc: 0.753414	valid's auc: 0.73036	valid's online_auc: 0.724952
[321]	train's auc: 0.753295	train's online_auc: 0.753574	valid's auc: 0.730418	valid's online_auc: 0.724996
[322]	train's auc: 0.753371	train's online_auc: 0.753641	valid's auc: 0.73043	valid's online_auc: 0.725001
[323]	train's auc: 0.75347	train's online_auc: 0.753872	valid's auc: 0.73045	valid's online_auc: 0.725054
[324]	train's auc: 0.75351	train's online_auc: 0.753911	valid's auc: 0.730464	valid's online_auc: 0.725079
[325]	train's auc: 0.753603	train's online_auc: 0.754023	valid's auc: 0.730471	valid's online_auc: 0.725082
[326]	train's auc: 0.753643	train's online_auc: 0.754097	valid's auc: 0.730481	valid's online_auc: 0.725082
[327]	train's auc: 0.753719	train's online_auc: 0.754169	valid's auc: 0.730493	valid's online_auc: 0.725097
[328]	train's auc: 0.753769	train's online_auc: 0.75423	valid's auc: 0.730514	valid's online_auc: 0.725123
[329]	train's auc: 0.753815	train's online_auc: 0.754257	valid's auc: 0.730539	valid's online_auc: 0.725139
[330]	train's auc: 0.753888	train's online_auc: 0.754348	valid's auc: 0.730534	valid's online_auc: 0.725135
[331]	train's auc: 0.753998	train's online_auc: 0.754473	valid's auc: 0.730566	valid's online_auc: 0.725211
[332]	train's auc: 0.754078	train's online_auc: 0.75456	valid's auc: 0.730608	valid's online_auc: 0.725234
[333]	train's auc: 0.754144	train's online_auc: 0.754647	valid's auc: 0.730622	valid's online_auc: 0.72525
[334]	train's auc: 0.754234	train's online_auc: 0.754791	valid's auc: 0.730684	valid's online_auc: 0.725376
[335]	train's auc: 0.754328	train's online_auc: 0.755101	valid's auc: 0.730712	valid's online_auc: 0.725504
[336]	train's auc: 0.754408	train's online_auc: 0.755176	valid's auc: 0.730751	valid's online_auc: 0.725535
[337]	train's auc: 0.754447	train's online_auc: 0.755244	valid's auc: 0.730761	valid's online_auc: 0.72555
[338]	train's auc: 0.754524	train's online_auc: 0.755361	valid's auc: 0.730777	valid's online_auc: 0.725577
[339]	train's auc: 0.754572	train's online_auc: 0.755443	valid's auc: 0.730796	valid's online_auc: 0.725608
[340]	train's auc: 0.754652	train's online_auc: 0.755523	valid's auc: 0.730802	valid's online_auc: 0.725615
[341]	train's auc: 0.754723	train's online_auc: 0.755697	valid's auc: 0.730811	valid's online_auc: 0.725645
[342]	train's auc: 0.754807	train's online_auc: 0.755782	valid's auc: 0.730839	valid's online_auc: 0.725689
[343]	train's auc: 0.754886	train's online_auc: 0.755861	valid's auc: 0.73088	valid's online_auc: 0.725742
[344]	train's auc: 0.754943	train's online_auc: 0.755913	valid's auc: 0.730916	valid's online_auc: 0.725747
[345]	train's auc: 0.755039	train's online_auc: 0.755954	valid's auc: 0.730947	valid's online_auc: 0.725761
[346]	train's auc: 0.755103	train's online_auc: 0.756005	valid's auc: 0.730989	valid's online_auc: 0.72577
[347]	train's auc: 0.755201	train's online_auc: 0.756089	valid's auc: 0.731008	valid's online_auc: 0.725795
[348]	train's auc: 0.755271	train's online_auc: 0.75624	valid's auc: 0.731039	valid's online_auc: 0.725822
[349]	train's auc: 0.755323	train's online_auc: 0.75632	valid's auc: 0.731042	valid's online_auc: 0.725839
[350]	train's auc: 0.755441	train's online_auc: 0.756398	valid's auc: 0.731074	valid's online_auc: 0.725841
[351]	train's auc: 0.755536	train's online_auc: 0.75665	valid's auc: 0.731084	valid's online_auc: 0.725832
[352]	train's auc: 0.755556	train's online_auc: 0.756679	valid's auc: 0.731087	valid's online_auc: 0.725828
[353]	train's auc: 0.755586	train's online_auc: 0.756721	valid's auc: 0.731095	valid's online_auc: 0.725853
[354]	train's auc: 0.755641	train's online_auc: 0.756789	valid's auc: 0.73111	valid's online_auc: 0.725857
[355]	train's auc: 0.755748	train's online_auc: 0.756862	valid's auc: 0.731134	valid's online_auc: 0.725878
[356]	train's auc: 0.755795	train's online_auc: 0.75691	valid's auc: 0.731151	valid's online_auc: 0.725888
[357]	train's auc: 0.755866	train's online_auc: 0.757002	valid's auc: 0.73116	valid's online_auc: 0.72593
[358]	train's auc: 0.755927	train's online_auc: 0.757042	valid's auc: 0.731181	valid's online_auc: 0.725945
[359]	train's auc: 0.755966	train's online_auc: 0.757092	valid's auc: 0.731201	valid's online_auc: 0.72596
[360]	train's auc: 0.756027	train's online_auc: 0.757156	valid's auc: 0.731227	valid's online_auc: 0.72599
[361]	train's auc: 0.756076	train's online_auc: 0.757207	valid's auc: 0.731235	valid's online_auc: 0.725996
[362]	train's auc: 0.756165	train's online_auc: 0.75738	valid's auc: 0.731259	valid's online_auc: 0.726032
[363]	train's auc: 0.756212	train's online_auc: 0.757452	valid's auc: 0.731286	valid's online_auc: 0.726055
[364]	train's auc: 0.756232	train's online_auc: 0.757465	valid's auc: 0.731297	valid's online_auc: 0.726059
[365]	train's auc: 0.756263	train's online_auc: 0.75749	valid's auc: 0.731312	valid's online_auc: 0.726068
[366]	train's auc: 0.756335	train's online_auc: 0.757545	valid's auc: 0.731345	valid's online_auc: 0.726101
[367]	train's auc: 0.756484	train's online_auc: 0.757696	valid's auc: 0.731416	valid's online_auc: 0.72619
[368]	train's auc: 0.75655	train's online_auc: 0.757763	valid's auc: 0.731438	valid's online_auc: 0.726208
[369]	train's auc: 0.756627	train's online_auc: 0.757834	valid's auc: 0.731463	valid's online_auc: 0.726259
[370]	train's auc: 0.756784	train's online_auc: 0.758236	valid's auc: 0.73155	valid's online_auc: 0.726444
[371]	train's auc: 0.75681	train's online_auc: 0.758267	valid's auc: 0.731566	valid's online_auc: 0.726458
[372]	train's auc: 0.756868	train's online_auc: 0.758346	valid's auc: 0.731576	valid's online_auc: 0.726456
[373]	train's auc: 0.756897	train's online_auc: 0.758389	valid's auc: 0.731578	valid's online_auc: 0.726468
[374]	train's auc: 0.756936	train's online_auc: 0.75843	valid's auc: 0.731586	valid's online_auc: 0.726467
[375]	train's auc: 0.757023	train's online_auc: 0.758552	valid's auc: 0.731613	valid's online_auc: 0.726483
[376]	train's auc: 0.757077	train's online_auc: 0.758621	valid's auc: 0.73164	valid's online_auc: 0.726517
[377]	train's auc: 0.757123	train's online_auc: 0.758676	valid's auc: 0.731658	valid's online_auc: 0.72652
[378]	train's auc: 0.757186	train's online_auc: 0.75874	valid's auc: 0.731675	valid's online_auc: 0.726555
[379]	train's auc: 0.757249	train's online_auc: 0.758858	valid's auc: 0.731716	valid's online_auc: 0.726628
[380]	train's auc: 0.757328	train's online_auc: 0.758943	valid's auc: 0.731735	valid's online_auc: 0.726626
[381]	train's auc: 0.757392	train's online_auc: 0.758999	valid's auc: 0.731741	valid's online_auc: 0.726609
[382]	train's auc: 0.757486	train's online_auc: 0.759131	valid's auc: 0.731756	valid's online_auc: 0.726635
[383]	train's auc: 0.757521	train's online_auc: 0.759174	valid's auc: 0.731753	valid's online_auc: 0.726623
[384]	train's auc: 0.757611	train's online_auc: 0.759267	valid's auc: 0.731766	valid's online_auc: 0.726634
[385]	train's auc: 0.757669	train's online_auc: 0.759329	valid's auc: 0.73181	valid's online_auc: 0.72669
[386]	train's auc: 0.757728	train's online_auc: 0.75937	valid's auc: 0.731822	valid's online_auc: 0.726692
[387]	train's auc: 0.757889	train's online_auc: 0.759496	valid's auc: 0.731913	valid's online_auc: 0.726764
[388]	train's auc: 0.757938	train's online_auc: 0.759559	valid's auc: 0.731924	valid's online_auc: 0.726786
[389]	train's auc: 0.75804	train's online_auc: 0.759652	valid's auc: 0.731968	valid's online_auc: 0.726836
[390]	train's auc: 0.758074	train's online_auc: 0.759676	valid's auc: 0.731984	valid's online_auc: 0.726847
[391]	train's auc: 0.758157	train's online_auc: 0.75977	valid's auc: 0.731995	valid's online_auc: 0.726848
[392]	train's auc: 0.758217	train's online_auc: 0.759852	valid's auc: 0.732011	valid's online_auc: 0.726866
[393]	train's auc: 0.758252	train's online_auc: 0.759883	valid's auc: 0.732018	valid's online_auc: 0.726862
[394]	train's auc: 0.758291	train's online_auc: 0.75993	valid's auc: 0.732019	valid's online_auc: 0.726844
[395]	train's auc: 0.758362	train's online_auc: 0.760058	valid's auc: 0.732057	valid's online_auc: 0.726863
[396]	train's auc: 0.758404	train's online_auc: 0.760135	valid's auc: 0.732067	valid's online_auc: 0.726877
[397]	train's auc: 0.758434	train's online_auc: 0.760169	valid's auc: 0.732074	valid's online_auc: 0.726881
[398]	train's auc: 0.758481	train's online_auc: 0.760215	valid's auc: 0.732089	valid's online_auc: 0.726879
[399]	train's auc: 0.75867	train's online_auc: 0.760401	valid's auc: 0.732158	valid's online_auc: 0.726934
[400]	train's auc: 0.758733	train's online_auc: 0.760483	valid's auc: 0.732157	valid's online_auc: 0.726909
[401]	train's auc: 0.758767	train's online_auc: 0.760523	valid's auc: 0.732165	valid's online_auc: 0.726932
[402]	train's auc: 0.758845	train's online_auc: 0.760568	valid's auc: 0.73218	valid's online_auc: 0.726936
[403]	train's auc: 0.758884	train's online_auc: 0.760614	valid's auc: 0.732185	valid's online_auc: 0.726936
[404]	train's auc: 0.758898	train's online_auc: 0.760628	valid's auc: 0.732196	valid's online_auc: 0.726944
[405]	train's auc: 0.758984	train's online_auc: 0.760747	valid's auc: 0.732203	valid's online_auc: 0.726944
[406]	train's auc: 0.75902	train's online_auc: 0.760784	valid's auc: 0.732216	valid's online_auc: 0.726949
[407]	train's auc: 0.759137	train's online_auc: 0.760895	valid's auc: 0.732308	valid's online_auc: 0.726987
[408]	train's auc: 0.759165	train's online_auc: 0.760927	valid's auc: 0.732313	valid's online_auc: 0.726995
[409]	train's auc: 0.759186	train's online_auc: 0.760937	valid's auc: 0.73232	valid's online_auc: 0.726993
[410]	train's auc: 0.759251	train's online_auc: 0.760989	valid's auc: 0.732336	valid's online_auc: 0.72702
[411]	train's auc: 0.759343	train's online_auc: 0.761068	valid's auc: 0.732372	valid's online_auc: 0.72708
[412]	train's auc: 0.759379	train's online_auc: 0.761138	valid's auc: 0.732378	valid's online_auc: 0.727095
[413]	train's auc: 0.759415	train's online_auc: 0.761184	valid's auc: 0.732385	valid's online_auc: 0.727097
[414]	train's auc: 0.75946	train's online_auc: 0.761236	valid's auc: 0.732382	valid's online_auc: 0.727107
[415]	train's auc: 0.759547	train's online_auc: 0.761339	valid's auc: 0.732393	valid's online_auc: 0.727099
[416]	train's auc: 0.759674	train's online_auc: 0.76151	valid's auc: 0.732496	valid's online_auc: 0.727311
[417]	train's auc: 0.759744	train's online_auc: 0.761682	valid's auc: 0.732516	valid's online_auc: 0.727358
[418]	train's auc: 0.759854	train's online_auc: 0.761856	valid's auc: 0.73254	valid's online_auc: 0.727418
[419]	train's auc: 0.759907	train's online_auc: 0.761915	valid's auc: 0.732551	valid's online_auc: 0.727424
[420]	train's auc: 0.75997	train's online_auc: 0.76199	valid's auc: 0.732566	valid's online_auc: 0.727449
[421]	train's auc: 0.760022	train's online_auc: 0.762051	valid's auc: 0.732586	valid's online_auc: 0.727477
[422]	train's auc: 0.760067	train's online_auc: 0.76214	valid's auc: 0.732606	valid's online_auc: 0.727537
[423]	train's auc: 0.760144	train's online_auc: 0.762243	valid's auc: 0.73261	valid's online_auc: 0.727532
[424]	train's auc: 0.760212	train's online_auc: 0.762318	valid's auc: 0.732626	valid's online_auc: 0.727541
[425]	train's auc: 0.76025	train's online_auc: 0.762356	valid's auc: 0.732637	valid's online_auc: 0.727582
[426]	train's auc: 0.760348	train's online_auc: 0.762471	valid's auc: 0.732661	valid's online_auc: 0.727613
[427]	train's auc: 0.760416	train's online_auc: 0.762733	valid's auc: 0.732685	valid's online_auc: 0.727696
[428]	train's auc: 0.760465	train's online_auc: 0.762791	valid's auc: 0.732699	valid's online_auc: 0.727693
[429]	train's auc: 0.760505	train's online_auc: 0.762821	valid's auc: 0.732716	valid's online_auc: 0.727702
[430]	train's auc: 0.76052	train's online_auc: 0.762845	valid's auc: 0.732717	valid's online_auc: 0.727695
[431]	train's auc: 0.760584	train's online_auc: 0.762924	valid's auc: 0.73275	valid's online_auc: 0.727736
[432]	train's auc: 0.760676	train's online_auc: 0.763012	valid's auc: 0.732767	valid's online_auc: 0.727764
[433]	train's auc: 0.760709	train's online_auc: 0.763064	valid's auc: 0.732772	valid's online_auc: 0.727765
[434]	train's auc: 0.760771	train's online_auc: 0.76313	valid's auc: 0.732801	valid's online_auc: 0.727798
[435]	train's auc: 0.760791	train's online_auc: 0.763141	valid's auc: 0.732812	valid's online_auc: 0.72781
[436]	train's auc: 0.760838	train's online_auc: 0.763188	valid's auc: 0.732814	valid's online_auc: 0.72783
[437]	train's auc: 0.760919	train's online_auc: 0.763351	valid's auc: 0.732818	valid's online_auc: 0.727825
[438]	train's auc: 0.76095	train's online_auc: 0.763386	valid's auc: 0.732832	valid's online_auc: 0.727834
[439]	train's auc: 0.760987	train's online_auc: 0.763426	valid's auc: 0.732831	valid's online_auc: 0.727834
[440]	train's auc: 0.761024	train's online_auc: 0.763463	valid's auc: 0.732829	valid's online_auc: 0.727828
[441]	train's auc: 0.761076	train's online_auc: 0.763537	valid's auc: 0.732832	valid's online_auc: 0.727869
[442]	train's auc: 0.761161	train's online_auc: 0.763613	valid's auc: 0.732842	valid's online_auc: 0.727922
[443]	train's auc: 0.761198	train's online_auc: 0.763642	valid's auc: 0.732854	valid's online_auc: 0.727933
[444]	train's auc: 0.761222	train's online_auc: 0.763672	valid's auc: 0.732865	valid's online_auc: 0.727953
[445]	train's auc: 0.761266	train's online_auc: 0.763712	valid's auc: 0.73287	valid's online_auc: 0.727949
[446]	train's auc: 0.76136	train's online_auc: 0.763802	valid's auc: 0.732928	valid's online_auc: 0.727955
[447]	train's auc: 0.761408	train's online_auc: 0.763842	valid's auc: 0.732942	valid's online_auc: 0.727991
[448]	train's auc: 0.761485	train's online_auc: 0.764004	valid's auc: 0.732946	valid's online_auc: 0.727971
[449]	train's auc: 0.76152	train's online_auc: 0.764046	valid's auc: 0.732944	valid's online_auc: 0.727966
[450]	train's auc: 0.761571	train's online_auc: 0.764099	valid's auc: 0.732941	valid's online_auc: 0.727952
[451]	train's auc: 0.761627	train's online_auc: 0.764179	valid's auc: 0.732952	valid's online_auc: 0.727966
[452]	train's auc: 0.761704	train's online_auc: 0.764253	valid's auc: 0.732962	valid's online_auc: 0.727976
[453]	train's auc: 0.761758	train's online_auc: 0.764317	valid's auc: 0.73299	valid's online_auc: 0.728004
[454]	train's auc: 0.761919	train's online_auc: 0.76468	valid's auc: 0.733049	valid's online_auc: 0.728128
[455]	train's auc: 0.76194	train's online_auc: 0.764698	valid's auc: 0.733059	valid's online_auc: 0.728128
[456]	train's auc: 0.762033	train's online_auc: 0.764803	valid's auc: 0.733087	valid's online_auc: 0.72817
[457]	train's auc: 0.762127	train's online_auc: 0.764881	valid's auc: 0.733099	valid's online_auc: 0.728178
[458]	train's auc: 0.762183	train's online_auc: 0.764984	valid's auc: 0.733117	valid's online_auc: 0.728215
[459]	train's auc: 0.762227	train's online_auc: 0.765039	valid's auc: 0.733136	valid's online_auc: 0.72822
[460]	train's auc: 0.762253	train's online_auc: 0.765063	valid's auc: 0.733148	valid's online_auc: 0.728236
[461]	train's auc: 0.762295	train's online_auc: 0.765115	valid's auc: 0.733162	valid's online_auc: 0.728263
[462]	train's auc: 0.762342	train's online_auc: 0.765157	valid's auc: 0.733169	valid's online_auc: 0.728275
[463]	train's auc: 0.762392	train's online_auc: 0.765244	valid's auc: 0.733184	valid's online_auc: 0.728296
[464]	train's auc: 0.762486	train's online_auc: 0.765356	valid's auc: 0.733201	valid's online_auc: 0.72829
[465]	train's auc: 0.762531	train's online_auc: 0.765419	valid's auc: 0.733208	valid's online_auc: 0.728278
[466]	train's auc: 0.762579	train's online_auc: 0.765484	valid's auc: 0.733201	valid's online_auc: 0.728274
[467]	train's auc: 0.762625	train's online_auc: 0.765542	valid's auc: 0.7332	valid's online_auc: 0.728266
[468]	train's auc: 0.762667	train's online_auc: 0.765578	valid's auc: 0.733208	valid's online_auc: 0.728275
[469]	train's auc: 0.762716	train's online_auc: 0.765632	valid's auc: 0.733217	valid's online_auc: 0.728266
[470]	train's auc: 0.762846	train's online_auc: 0.765722	valid's auc: 0.733254	valid's online_auc: 0.7283
[471]	train's auc: 0.762885	train's online_auc: 0.765772	valid's auc: 0.733271	valid's online_auc: 0.72832
[472]	train's auc: 0.762915	train's online_auc: 0.765811	valid's auc: 0.733281	valid's online_auc: 0.728327
[473]	train's auc: 0.762949	train's online_auc: 0.765854	valid's auc: 0.733287	valid's online_auc: 0.72833
[474]	train's auc: 0.762971	train's online_auc: 0.765898	valid's auc: 0.733293	valid's online_auc: 0.728335
[475]	train's auc: 0.763065	train's online_auc: 0.766014	valid's auc: 0.733325	valid's online_auc: 0.728368
[476]	train's auc: 0.763119	train's online_auc: 0.766061	valid's auc: 0.733335	valid's online_auc: 0.728395
[477]	train's auc: 0.763152	train's online_auc: 0.766098	valid's auc: 0.733354	valid's online_auc: 0.728392
[478]	train's auc: 0.763176	train's online_auc: 0.766142	valid's auc: 0.73336	valid's online_auc: 0.728385
[479]	train's auc: 0.763242	train's online_auc: 0.766235	valid's auc: 0.733365	valid's online_auc: 0.728392
[480]	train's auc: 0.76328	train's online_auc: 0.766266	valid's auc: 0.733379	valid's online_auc: 0.728408
[481]	train's auc: 0.763333	train's online_auc: 0.766299	valid's auc: 0.733383	valid's online_auc: 0.728421
[482]	train's auc: 0.76338	train's online_auc: 0.766343	valid's auc: 0.733382	valid's online_auc: 0.728429
[483]	train's auc: 0.763442	train's online_auc: 0.766399	valid's auc: 0.733386	valid's online_auc: 0.728428
[484]	train's auc: 0.763487	train's online_auc: 0.766473	valid's auc: 0.733401	valid's online_auc: 0.728437
[485]	train's auc: 0.763522	train's online_auc: 0.766523	valid's auc: 0.733405	valid's online_auc: 0.72845
[486]	train's auc: 0.763611	train's online_auc: 0.76661	valid's auc: 0.733456	valid's online_auc: 0.728485
[487]	train's auc: 0.763699	train's online_auc: 0.766709	valid's auc: 0.733485	valid's online_auc: 0.728499
[488]	train's auc: 0.763743	train's online_auc: 0.766744	valid's auc: 0.733505	valid's online_auc: 0.728529
[489]	train's auc: 0.763782	train's online_auc: 0.766786	valid's auc: 0.733524	valid's online_auc: 0.728539
[490]	train's auc: 0.763859	train's online_auc: 0.766889	valid's auc: 0.733572	valid's online_auc: 0.728555
[491]	train's auc: 0.763876	train's online_auc: 0.766917	valid's auc: 0.733575	valid's online_auc: 0.728562
[492]	train's auc: 0.763912	train's online_auc: 0.766945	valid's auc: 0.733583	valid's online_auc: 0.728563
[493]	train's auc: 0.763973	train's online_auc: 0.767006	valid's auc: 0.733602	valid's online_auc: 0.728582
[494]	train's auc: 0.764048	train's online_auc: 0.767054	valid's auc: 0.733627	valid's online_auc: 0.7286
[495]	train's auc: 0.764117	train's online_auc: 0.767117	valid's auc: 0.733705	valid's online_auc: 0.728738
[496]	train's auc: 0.764189	train's online_auc: 0.767186	valid's auc: 0.73372	valid's online_auc: 0.728763
[497]	train's auc: 0.764223	train's online_auc: 0.767213	valid's auc: 0.733739	valid's online_auc: 0.728777
[498]	train's auc: 0.764276	train's online_auc: 0.767254	valid's auc: 0.733756	valid's online_auc: 0.728788
[499]	train's auc: 0.764326	train's online_auc: 0.767299	valid's auc: 0.733763	valid's online_auc: 0.728789
[500]	train's auc: 0.764391	train's online_auc: 0.767381	valid's auc: 0.733785	valid's online_auc: 0.728791
[501]	train's auc: 0.764477	train's online_auc: 0.767493	valid's auc: 0.733822	valid's online_auc: 0.728823
[502]	train's auc: 0.764537	train's online_auc: 0.767606	valid's auc: 0.733849	valid's online_auc: 0.72887
[503]	train's auc: 0.764588	train's online_auc: 0.767679	valid's auc: 0.733844	valid's online_auc: 0.728892
[504]	train's auc: 0.764628	train's online_auc: 0.767722	valid's auc: 0.733849	valid's online_auc: 0.728925
[505]	train's auc: 0.764723	train's online_auc: 0.767869	valid's auc: 0.733868	valid's online_auc: 0.72897
[506]	train's auc: 0.764949	train's online_auc: 0.768135	valid's auc: 0.733969	valid's online_auc: 0.72907
[507]	train's auc: 0.764972	train's online_auc: 0.768172	valid's auc: 0.733973	valid's online_auc: 0.729072
[508]	train's auc: 0.765003	train's online_auc: 0.768214	valid's auc: 0.733979	valid's online_auc: 0.729083
[509]	train's auc: 0.765041	train's online_auc: 0.768244	valid's auc: 0.73399	valid's online_auc: 0.729094
[510]	train's auc: 0.765064	train's online_auc: 0.768275	valid's auc: 0.733988	valid's online_auc: 0.729076
[511]	train's auc: 0.765151	train's online_auc: 0.768355	valid's auc: 0.734049	valid's online_auc: 0.729145
[512]	train's auc: 0.765195	train's online_auc: 0.768393	valid's auc: 0.734051	valid's online_auc: 0.729148
[513]	train's auc: 0.765254	train's online_auc: 0.768458	valid's auc: 0.734041	valid's online_auc: 0.729113
[514]	train's auc: 0.765293	train's online_auc: 0.76849	valid's auc: 0.734037	valid's online_auc: 0.72911
[515]	train's auc: 0.765363	train's online_auc: 0.768585	valid's auc: 0.734043	valid's online_auc: 0.729116
