[1]	train's auc: 0.627667	train's online_auc: 0.649963	valid1's auc: 0.626556	valid1's online_auc: 0.647148
[249]	train's auc: 0.723525	train's online_auc: 0.742856	valid1's auc: 0.672493	valid1's online_auc: 0.690915
[250]	train's auc: 0.723705	train's online_auc: 0.743045	valid1's auc: 0.672481	valid1's online_auc: 0.690911
[251]	train's auc: 0.723874	train's online_auc: 0.743219	valid1's auc: 0.672485	valid1's online_auc: 0.69091
[252]	train's auc: 0.724019	train's online_auc: 0.743357	valid1's auc: 0.672498	valid1's online_auc: 0.690936
[253]	train's auc: 0.724112	train's online_auc: 0.743472	valid1's auc: 0.672507	valid1's online_auc: 0.690956
[254]	train's auc: 0.724219	train's online_auc: 0.743569	valid1's auc: 0.672514	valid1's online_auc: 0.690943
[255]	train's auc: 0.724407	train's online_auc: 0.743731	valid1's auc: 0.672516	valid1's online_auc: 0.690959
[256]	train's auc: 0.724575	train's online_auc: 0.74388	valid1's auc: 0.672525	valid1's online_auc: 0.691025
[257]	train's auc: 0.724678	train's online_auc: 0.743969	valid1's auc: 0.672545	valid1's online_auc: 0.691038
[258]	train's auc: 0.72484	train's online_auc: 0.744171	valid1's auc: 0.672556	valid1's online_auc: 0.691075
[259]	train's auc: 0.724952	train's online_auc: 0.744266	valid1's auc: 0.67256	valid1's online_auc: 0.691114
[260]	train's auc: 0.725079	train's online_auc: 0.744402	valid1's auc: 0.672565	valid1's online_auc: 0.691109
[261]	train's auc: 0.725271	train's online_auc: 0.744587	valid1's auc: 0.672573	valid1's online_auc: 0.691174
[262]	train's auc: 0.7255	train's online_auc: 0.744829	valid1's auc: 0.672584	valid1's online_auc: 0.691185
[263]	train's auc: 0.725616	train's online_auc: 0.744954	valid1's auc: 0.67261	valid1's online_auc: 0.691271
[264]	train's auc: 0.725847	train's online_auc: 0.745142	valid1's auc: 0.672636	valid1's online_auc: 0.691252
[265]	train's auc: 0.726029	train's online_auc: 0.745366	valid1's auc: 0.672627	valid1's online_auc: 0.691225
[266]	train's auc: 0.726129	train's online_auc: 0.745457	valid1's auc: 0.672624	valid1's online_auc: 0.691233
[267]	train's auc: 0.726354	train's online_auc: 0.745724	valid1's auc: 0.672604	valid1's online_auc: 0.691228
[268]	train's auc: 0.726427	train's online_auc: 0.745796	valid1's auc: 0.672601	valid1's online_auc: 0.69121
[269]	train's auc: 0.726647	train's online_auc: 0.746006	valid1's auc: 0.672625	valid1's online_auc: 0.691225
[270]	train's auc: 0.726863	train's online_auc: 0.746219	valid1's auc: 0.672589	valid1's online_auc: 0.691167
[271]	train's auc: 0.726948	train's online_auc: 0.746298	valid1's auc: 0.672601	valid1's online_auc: 0.691187
[272]	train's auc: 0.727171	train's online_auc: 0.7465	valid1's auc: 0.672583	valid1's online_auc: 0.691165
[273]	train's auc: 0.727315	train's online_auc: 0.746665	valid1's auc: 0.672599	valid1's online_auc: 0.691188
[274]	train's auc: 0.727558	train's online_auc: 0.746886	valid1's auc: 0.672645	valid1's online_auc: 0.691263
[275]	train's auc: 0.727687	train's online_auc: 0.74704	valid1's auc: 0.672657	valid1's online_auc: 0.691313
[276]	train's auc: 0.72786	train's online_auc: 0.747217	valid1's auc: 0.672652	valid1's online_auc: 0.691298
[277]	train's auc: 0.728001	train's online_auc: 0.747367	valid1's auc: 0.672651	valid1's online_auc: 0.691264
[278]	train's auc: 0.728262	train's online_auc: 0.747588	valid1's auc: 0.672628	valid1's online_auc: 0.691241
[279]	train's auc: 0.728375	train's online_auc: 0.747703	valid1's auc: 0.672634	valid1's online_auc: 0.691257
[280]	train's auc: 0.72843	train's online_auc: 0.747752	valid1's auc: 0.672645	valid1's online_auc: 0.691272
[281]	train's auc: 0.728625	train's online_auc: 0.748	valid1's auc: 0.672621	valid1's online_auc: 0.691241
[282]	train's auc: 0.728753	train's online_auc: 0.748119	valid1's auc: 0.672624	valid1's online_auc: 0.691262
[283]	train's auc: 0.728901	train's online_auc: 0.74828	valid1's auc: 0.672621	valid1's online_auc: 0.691247
[284]	train's auc: 0.728975	train's online_auc: 0.748357	valid1's auc: 0.672588	valid1's online_auc: 0.691214
[285]	train's auc: 0.7291	train's online_auc: 0.748493	valid1's auc: 0.672554	valid1's online_auc: 0.691186
[286]	train's auc: 0.729307	train's online_auc: 0.748759	valid1's auc: 0.672553	valid1's online_auc: 0.691211
[287]	train's auc: 0.729424	train's online_auc: 0.748873	valid1's auc: 0.672541	valid1's online_auc: 0.691223
[288]	train's auc: 0.729597	train's online_auc: 0.749014	valid1's auc: 0.672554	valid1's online_auc: 0.691238
[289]	train's auc: 0.729747	train's online_auc: 0.74913	valid1's auc: 0.672545	valid1's online_auc: 0.691228
[290]	train's auc: 0.729849	train's online_auc: 0.749236	valid1's auc: 0.672541	valid1's online_auc: 0.691251
[291]	train's auc: 0.729993	train's online_auc: 0.749386	valid1's auc: 0.672517	valid1's online_auc: 0.691242
[292]	train's auc: 0.730159	train's online_auc: 0.749549	valid1's auc: 0.672518	valid1's online_auc: 0.691241
[293]	train's auc: 0.73032	train's online_auc: 0.749751	valid1's auc: 0.672535	valid1's online_auc: 0.691246
[294]	train's auc: 0.730557	train's online_auc: 0.749964	valid1's auc: 0.672536	valid1's online_auc: 0.691221
[295]	train's auc: 0.730711	train's online_auc: 0.750136	valid1's auc: 0.672547	valid1's online_auc: 0.691201
[296]	train's auc: 0.73079	train's online_auc: 0.750196	valid1's auc: 0.672541	valid1's online_auc: 0.69119
[297]	train's auc: 0.73092	train's online_auc: 0.750322	valid1's auc: 0.672536	valid1's online_auc: 0.691208
[298]	train's auc: 0.73101	train's online_auc: 0.750399	valid1's auc: 0.672532	valid1's online_auc: 0.691222
[299]	train's auc: 0.731122	train's online_auc: 0.750509	valid1's auc: 0.672526	valid1's online_auc: 0.691214
[300]	train's auc: 0.731242	train's online_auc: 0.750647	valid1's auc: 0.67251	valid1's online_auc: 0.69119
[301]	train's auc: 0.731296	train's online_auc: 0.750696	valid1's auc: 0.672486	valid1's online_auc: 0.691166
[302]	train's auc: 0.73137	train's online_auc: 0.750778	valid1's auc: 0.672497	valid1's online_auc: 0.69118
[303]	train's auc: 0.731496	train's online_auc: 0.750915	valid1's auc: 0.672502	valid1's online_auc: 0.691165
[304]	train's auc: 0.731714	train's online_auc: 0.75113	valid1's auc: 0.672511	valid1's online_auc: 0.691142
[305]	train's auc: 0.731882	train's online_auc: 0.751304	valid1's auc: 0.672485	valid1's online_auc: 0.691121
[306]	train's auc: 0.732008	train's online_auc: 0.751426	valid1's auc: 0.672464	valid1's online_auc: 0.691121
[307]	train's auc: 0.732187	train's online_auc: 0.751651	valid1's auc: 0.672478	valid1's online_auc: 0.691154
[308]	train's auc: 0.732362	train's online_auc: 0.751804	valid1's auc: 0.672475	valid1's online_auc: 0.691137
[309]	train's auc: 0.732539	train's online_auc: 0.751969	valid1's auc: 0.672507	valid1's online_auc: 0.691191
[310]	train's auc: 0.732604	train's online_auc: 0.752033	valid1's auc: 0.672497	valid1's online_auc: 0.691158
[311]	train's auc: 0.732756	train's online_auc: 0.75221	valid1's auc: 0.672482	valid1's online_auc: 0.691151
[312]	train's auc: 0.732823	train's online_auc: 0.752281	valid1's auc: 0.672475	valid1's online_auc: 0.691147
[313]	train's auc: 0.733042	train's online_auc: 0.752466	valid1's auc: 0.672486	valid1's online_auc: 0.691168
[314]	train's auc: 0.733119	train's online_auc: 0.752558	valid1's auc: 0.672493	valid1's online_auc: 0.691155
[315]	train's auc: 0.733236	train's online_auc: 0.75267	valid1's auc: 0.672511	valid1's online_auc: 0.691195
[316]	train's auc: 0.733484	train's online_auc: 0.752891	valid1's auc: 0.67253	valid1's online_auc: 0.691185
[317]	train's auc: 0.733723	train's online_auc: 0.753128	valid1's auc: 0.672543	valid1's online_auc: 0.69119
[318]	train's auc: 0.733898	train's online_auc: 0.753315	valid1's auc: 0.672554	valid1's online_auc: 0.691168
[319]	train's auc: 0.734024	train's online_auc: 0.753414	valid1's auc: 0.672573	valid1's online_auc: 0.691183
[320]	train's auc: 0.73419	train's online_auc: 0.753601	valid1's auc: 0.672542	valid1's online_auc: 0.691126
[321]	train's auc: 0.734348	train's online_auc: 0.7538	valid1's auc: 0.672541	valid1's online_auc: 0.691123
[322]	train's auc: 0.734457	train's online_auc: 0.753889	valid1's auc: 0.672543	valid1's online_auc: 0.691125
[323]	train's auc: 0.734555	train's online_auc: 0.754	valid1's auc: 0.672523	valid1's online_auc: 0.691094
[324]	train's auc: 0.73477	train's online_auc: 0.754207	valid1's auc: 0.672526	valid1's online_auc: 0.691078
[325]	train's auc: 0.734911	train's online_auc: 0.754344	valid1's auc: 0.672549	valid1's online_auc: 0.691051
Early stopping, best iteration is:
[275]	train's auc: 0.727687	train's online_auc: 0.74704	valid1's auc: 0.672657	valid1's online_auc: 0.691313
